 ±º‰(s),µÁ—π(V)
0,-0.00414931
0.1,-0.00427622
0.2,-0.0044614
0.3,-0.00464398
0.4,-0.00498312
0.5,-0.00503929
0.6,-0.00520366
0.7,-0.00578936
0.8,-0.00634749
0.9,-0.00706531
1,-0.00745022
1.1,-0.00677298
1.2,-0.00636518
1.3,0.00741279
1.4,-0.020707
1.5,-0.0428058
1.6,-0.017716
1.7,-0.0168911
1.8,-0.00527233
1.9,-0.00561563
2,-0.00489833
2.1,-0.00450769
2.2,-0.00488065
2.3,-0.00463357
2.4,-0.00501953
2.5,-0.00516933
2.6,-0.00507674
2.7,-0.00475893
2.8,-0.00470015
2.9,-0.169753
3,-0.33872
3.1,-0.402427
3.2,-0.307787
3.3,-0.108816
3.4,-0.00871732
3.5,-0.0083787
3.6,-0.00806192
3.7,-0.00759118
3.8,-0.00656647
3.9,-0.00622785
4,-0.00516725
4.1,-0.00452538
4.2,-0.00417167
4.3,-0.00426062
4.4,-0.00432044
4.5,-0.00441406
4.6,-0.00461692
4.7,-0.046153
4.8,-0.301737
4.9,-0.367591
5,-0.357363
5.1,-0.018205
5.2,-0.0168827
5.3,-0.0154497
5.4,-0.0160484
5.5,-0.0177472
5.6,-0.0227017
5.7,-0.0242607
5.8,-0.00635321
5.9,-0.00607961
6,-0.00588299
6.1,-0.00574046
6.2,-0.257508
6.3,-0.374001
6.4,-0.37467
6.5,-0.280645
6.6,-0.0265899
6.7,-0.0245472
6.8,-0.0230835
6.9,-0.0225093
7,-0.0223314
7.1,-0.0242346
7.2,-0.0256208
7.3,-0.0258169
7.4,-0.0109332
7.5,-0.0105082
7.6,-0.00905022
7.7,-0.00750119
7.8,-0.00586062
7.9,-0.16531
8,-0.378606
8.1,-0.379936
8.2,-0.290679
8.3,-0.0204781
8.4,-0.030425
8.5,-0.0201452
8.6,-0.0198513
8.7,-0.0196853
8.8,-0.0193836
8.9,-0.0193571
9,-0.0184292
9.1,-0.00605307
9.2,-0.00582681
9.3,-0.00558077
9.4,-0.00522082
9.5,-0.00508402
9.6,-0.397981
9.7,-0.398031
9.8,-0.309674
9.9,-0.121924
10,-0.103732
10.1,-0.0892635
10.2,-0.0867662
10.3,-0.0740692
10.4,-0.0600406
10.5,-0.0587886
10.6,-0.0577441
10.7,-0.0552567
10.8,-0.0533056
10.9,-0.0519116
11,-0.0492895
11.1,-0.0497956
11.2,-0.012878
11.3,-0.255526
11.4,-0.306502
11.5,-0.260873
11.6,-0.073755
11.7,-0.0441816
11.8,-0.0265873
11.9,-0.0258466
12,-0.0251839
12.1,-0.0241155
12.2,-0.0233493
12.3,-0.00823877
12.4,-0.00797141
12.5,-0.00738259
12.6,-0.00691913
12.7,-0.00631523
12.8,-0.00594436
12.9,-0.00580912
13,-0.270044
13.1,-0.377647
13.2,-0.160509
13.3,-0.101158
13.4,-0.0988396
13.5,-0.0855912
13.6,-0.0850113
13.7,-0.084888
13.8,-0.0849379
13.9,-0.0851663
14,-0.0852521
14.1,-0.0851012
14.2,-0.0846435
14.3,-0.0834602
14.4,-0.0832667
14.5,-0.0828973
14.6,-0.0830435
14.7,-0.0833421
14.8,-0.0834607
14.9,-0.0831553
15,-0.0831944
15.1,-0.0829696
15.2,-0.0827522
15.3,-0.0822898
15.4,-0.0810898
15.5,-0.0158679
15.6,-0.0142122
15.7,-0.0121347
15.8,-0.00958129
15.9,-0.00824501
16,-0.00744085
16.1,-0.00720886
16.2,-0.00707518
