code,name,date,close,lastgolddate,lastgoldclose,lastkilldate,lastkillclose
000001.SZ,平安银行,20241018,12.04,20240924,10.37,20240902,10.11
000002.SZ,万科A,20241018,9.37,20240918,6.49,20240911,6.31
000004.SZ,国华网安,20241018,21.97,20240919,13.27,20240913,10.96
000006.SZ,深振业A,20241018,6.31,20240903,4.17,20240827,3.77
000007.SZ,全新好,20241018,6.58,20240828,4.72,20241018,6.58
000008.SZ,神州高铁,20241018,2.27,20240910,2.1,20241017,2.21
000009.SZ,中国宝安,20241018,8.82,20240924,7.79,20241017,8.46
000010.SZ,美丽生态,20241018,2.04,20240909,1.78,20241018,2.04
000011.SZ,深物业A,20241018,9.23,20240904,7.66,20240819,7.53
000012.SZ,南玻A,20241018,5.37,20240924,5.05,20241017,5.26
